iter	Passed	Remaining
0	133	133450
1	140	69897
2	145	48387
3	150	37582
4	156	31155
5	159	26448
6	162	23011
7	164	20385
8	167	18392
9	169	16757
10	171	15420
11	173	14300
12	176	13366
13	178	12564
14	180	11872
15	183	11261
16	184	10684
17	186	10170
18	188	9716
19	189	9308
20	191	8938
21	193	8615
22	196	8327
23	197	8044
24	199	7785
25	201	7544
26	203	7317
27	204	7110
28	206	6917
29	208	6754
30	210	6588
31	212	6429
32	214	6281
33	216	6139
34	217	6007
35	219	5882
36	221	5769
37	223	5659
38	225	5552
39	227	5450
40	228	5353
41	230	5260
42	232	5172
43	234	5088
44	236	5016
45	238	4937
46	239	4864
47	241	4792
48	243	4724
49	245	4656
50	246	4591
51	248	4535
52	250	4477
53	252	4423
54	254	4369
55	256	4316
56	257	4264
57	259	4214
58	261	4169
59	263	4124
60	265	4085
61	267	4040
62	268	3998
63	270	3958
64	272	3918
65	274	3880
66	276	3844
67	278	3810
68	279	3774
69	281	3740
70	283	3706
71	284	3673
72	286	3640
73	288	3609
74	290	3579
75	291	3549
76	293	3523
77	295	3496
78	297	3469
79	299	3441
80	300	3414
81	302	3389
82	303	3356
83	305	3331
84	307	3309
85	309	3287
86	311	3264
87	312	3241
88	314	3219
89	316	3197
90	317	3175
91	319	3154
92	321	3134
93	323	3116
94	325	3099
95	327	3079
96	328	3060
97	330	3040
98	332	3022
99	333	3004
100	335	2986
101	337	2972
102	339	2960
103	341	2943
104	343	2927
105	345	2911
106	347	2896
107	348	2880
108	352	2885
109	355	2872
110	356	2857
111	358	2843
112	360	2829
113	362	2815
114	363	2800
115	365	2785
116	367	2771
117	369	2759
118	370	2745
119	372	2731
120	374	2719
121	375	2703
122	377	2691
123	379	2678
124	381	2668
125	383	2657
126	384	2643
127	386	2631
128	388	2620
129	389	2608
130	391	2596
131	393	2585
132	394	2574
133	396	2565
134	398	2555
135	400	2544
136	402	2534
137	404	2524
138	405	2514
139	407	2503
140	409	2493
141	410	2482
142	412	2473
143	414	2465
144	416	2455
145	418	2446
146	419	2436
147	421	2426
148	423	2418
149	425	2410
150	427	2402
151	429	2393
152	430	2384
153	432	2376
154	434	2368
155	436	2360
156	438	2353
157	440	2345
158	442	2339
159	443	2330
160	445	2320
161	447	2312
162	448	2304
163	450	2297
164	452	2289
165	454	2283
166	456	2276
167	457	2267
168	459	2259
169	461	2251
170	462	2243
171	464	2236
172	467	2232
173	469	2226
174	471	2221
175	473	2215
176	474	2208
177	476	2201
178	478	2194
179	480	2187
180	482	2181
181	484	2176
182	486	2171
183	488	2167
184	490	2162
185	492	2156
186	494	2149
187	496	2143
188	498	2137
189	500	2133
190	502	2128
191	504	2122
192	506	2116
193	507	2110
194	509	2103
195	511	2096
196	513	2091
197	515	2087
198	517	2082
199	518	2075
200	520	2069
201	522	2063
202	524	2058
203	526	2052
204	528	2048
205	530	2044
206	532	2039
207	534	2034
208	536	2029
209	537	2023
210	539	2018
211	541	2013
212	543	2009
213	545	2003
214	547	1999
215	549	1994
216	551	1989
217	552	1983
218	554	1977
219	556	1973
220	558	1968
221	560	1964
222	562	1958
223	563	1952
224	566	1952
225	568	1947
226	570	1943
227	572	1939
228	574	1935
229	576	1931
230	578	1926
231	580	1921
232	582	1916
233	583	1911
234	585	1906
235	587	1902
236	589	1898
237	591	1893
238	593	1888
239	594	1884
240	596	1879
241	598	1875
242	600	1870
243	602	1867
244	604	1862
245	606	1858
246	607	1853
247	609	1848
248	611	1843
249	613	1839
250	615	1835
251	616	1831
252	618	1827
253	620	1822
254	622	1817
255	623	1813
256	625	1808
257	627	1804
258	628	1799
259	631	1796
260	633	1792
261	635	1789
262	636	1784
263	638	1780
264	640	1776
265	642	1772
266	644	1769
267	646	1764
268	649	1763
269	650	1759
270	652	1755
271	654	1751
272	656	1747
273	658	1743
274	660	1740
275	662	1736
276	664	1733
277	666	1730
278	668	1726
279	669	1722
280	671	1719
281	673	1715
282	675	1712
283	677	1709
284	680	1706
285	682	1703
286	684	1700
287	686	1696
288	687	1692
289	689	1689
290	691	1685
291	694	1683
292	696	1680
293	698	1677
294	700	1673
295	701	1668
296	703	1665
297	706	1664
298	709	1662
299	710	1658
300	712	1655
301	714	1652
302	716	1648
303	718	1645
304	722	1647
305	726	1646
306	729	1646
307	731	1643
308	733	1639
309	735	1636
310	738	1635
311	740	1632
312	742	1629
313	744	1626
314	746	1622
315	747	1618
316	750	1616
317	752	1613
318	754	1611
319	757	1609
320	759	1605
321	761	1602
322	763	1599
323	765	1597
324	768	1595
325	770	1593
326	773	1591
327	775	1588
328	777	1585
329	779	1583
330	782	1581
331	784	1577
332	786	1575
333	788	1572
334	790	1569
335	792	1565
336	794	1562
337	796	1559
338	798	1556
339	800	1554
340	802	1550
341	804	1547
342	805	1543
343	808	1541
344	810	1538
345	812	1536
346	814	1533
347	816	1530
348	818	1526
349	820	1523
350	822	1520
351	824	1517
352	826	1515
353	828	1512
354	832	1513
355	834	1509
356	836	1506
357	839	1504
358	841	1502
359	843	1499
360	845	1497
361	847	1493
362	849	1490
363	850	1486
364	853	1483
365	855	1481
366	858	1479
367	860	1477
368	862	1474
369	863	1471
370	867	1470
371	869	1468
372	871	1465
373	874	1463
374	876	1460
375	878	1457
376	879	1453
377	882	1451
378	884	1448
379	886	1446
380	888	1443
381	890	1440
382	891	1436
383	893	1433
384	895	1430
385	897	1428
386	900	1426
387	902	1423
388	904	1420
389	906	1417
390	907	1414
391	909	1410
392	912	1408
393	914	1405
394	916	1403
395	918	1400
396	920	1397
397	922	1395
398	924	1392
399	926	1389
400	928	1386
401	930	1384
402	933	1382
403	935	1379
404	936	1376
405	938	1373
406	940	1370
407	942	1367
408	945	1365
409	946	1362
410	949	1360
411	951	1357
412	952	1354
413	955	1352
414	957	1349
415	959	1346
416	961	1343
417	963	1341
418	964	1337
419	966	1334
420	968	1331
421	970	1329
422	972	1326
423	974	1323
424	976	1320
425	978	1317
426	979	1314
427	981	1311
428	983	1308
429	985	1306
430	987	1303
431	989	1300
432	990	1297
433	993	1295
434	995	1292
435	997	1289
436	999	1287
437	1001	1285
438	1003	1282
439	1005	1279
440	1006	1276
441	1008	1273
442	1010	1270
443	1012	1268
444	1015	1265
445	1017	1263
446	1019	1260
447	1021	1258
448	1024	1256
449	1025	1253
450	1027	1251
451	1030	1248
452	1032	1247
453	1034	1244
454	1036	1242
455	1038	1239
456	1040	1236
457	1042	1233
458	1044	1231
459	1046	1228
460	1048	1226
461	1050	1223
462	1052	1220
463	1054	1218
464	1056	1215
465	1059	1214
466	1062	1212
467	1064	1210
468	1067	1208
469	1068	1205
470	1070	1202
471	1072	1200
472	1075	1197
473	1077	1195
474	1079	1192
475	1081	1190
476	1083	1187
477	1085	1185
478	1088	1184
479	1090	1181
480	1093	1179
481	1095	1177
482	1097	1174
483	1099	1172
484	1101	1169
485	1103	1166
486	1105	1164
487	1106	1161
488	1109	1159
489	1111	1156
490	1113	1153
491	1115	1151
492	1117	1148
493	1119	1146
494	1121	1144
495	1123	1141
496	1125	1138
497	1126	1136
498	1129	1133
499	1131	1131
500	1133	1129
501	1135	1126
502	1137	1124
503	1139	1121
504	1141	1119
505	1143	1116
506	1145	1113
507	1147	1111
508	1149	1109
509	1152	1107
510	1154	1104
511	1155	1101
512	1157	1099
513	1161	1097
514	1163	1095
515	1165	1093
516	1167	1090
517	1169	1088
518	1171	1085
519	1173	1082
520	1175	1080
521	1177	1078
522	1179	1075
523	1181	1073
524	1183	1070
525	1185	1068
526	1187	1065
527	1189	1063
528	1191	1060
529	1193	1058
530	1195	1056
531	1198	1053
532	1199	1051
533	1201	1048
534	1203	1045
535	1205	1043
536	1208	1041
537	1210	1039
538	1212	1036
539	1214	1034
540	1215	1031
541	1217	1029
542	1219	1026
543	1221	1024
544	1223	1021
545	1226	1019
546	1228	1017
547	1229	1014
548	1231	1011
549	1233	1009
550	1236	1007
551	1238	1004
552	1240	1002
553	1242	999
554	1243	997
555	1245	994
556	1247	992
557	1249	989
558	1251	987
559	1253	985
560	1255	982
561	1257	980
562	1259	977
563	1260	974
564	1262	972
565	1264	969
566	1266	967
567	1269	965
568	1270	962
569	1272	960
570	1274	957
571	1276	955
572	1278	953
573	1280	950
574	1282	948
575	1284	945
576	1286	943
577	1288	940
578	1289	937
579	1291	935
580	1294	933
581	1296	931
582	1298	928
583	1299	925
584	1301	923
585	1303	920
586	1304	918
587	1306	915
588	1308	913
589	1310	910
590	1312	908
591	1314	905
592	1316	903
593	1317	900
594	1319	898
595	1321	895
596	1323	893
597	1325	890
598	1327	888
599	1328	885
600	1330	883
601	1332	880
602	1333	878
603	1335	875
604	1337	873
605	1339	871
606	1341	868
607	1343	866
608	1344	863
609	1346	860
610	1348	858
611	1350	855
612	1352	853
613	1354	851
614	1356	848
615	1357	846
616	1359	843
617	1361	841
618	1362	838
619	1364	836
620	1366	833
621	1368	831
622	1370	829
623	1372	827
624	1374	824
625	1376	822
626	1377	819
627	1380	817
628	1382	815
629	1384	813
630	1386	810
631	1388	808
632	1390	805
633	1392	803
634	1393	801
635	1396	799
636	1398	796
637	1400	794
638	1402	792
639	1403	789
640	1405	787
641	1407	784
642	1409	782
643	1412	780
644	1414	778
645	1415	775
646	1417	773
647	1419	770
648	1420	768
649	1422	766
650	1424	763
651	1427	761
652	1429	759
653	1433	758
654	1434	755
655	1436	753
656	1438	751
657	1440	748
658	1443	746
659	1445	744
660	1446	742
661	1448	739
662	1450	737
663	1452	734
664	1454	732
665	1456	730
666	1458	728
667	1460	725
668	1462	723
669	1464	721
670	1466	718
671	1467	716
672	1470	714
673	1472	712
674	1474	710
675	1476	707
676	1478	705
677	1480	703
678	1482	700
679	1484	698
680	1486	696
681	1488	694
682	1491	692
683	1492	689
684	1494	687
685	1496	685
686	1498	682
687	1500	680
688	1502	678
689	1505	676
690	1507	673
691	1508	671
692	1510	669
693	1512	666
694	1515	664
695	1517	662
696	1519	660
697	1521	658
698	1523	655
699	1524	653
700	1526	651
701	1528	649
702	1531	647
703	1533	644
704	1535	642
705	1537	640
706	1539	637
707	1541	635
708	1542	633
709	1545	631
710	1547	628
711	1549	626
712	1551	624
713	1552	622
714	1554	619
715	1557	617
716	1559	615
717	1562	613
718	1564	611
719	1566	609
720	1568	606
721	1571	605
722	1574	603
723	1576	600
724	1578	598
725	1580	596
726	1582	594
727	1584	591
728	1586	589
729	1589	587
730	1591	585
731	1593	583
732	1595	581
733	1597	578
734	1600	577
735	1602	574
736	1604	572
737	1607	570
738	1609	568
739	1610	565
740	1612	563
741	1614	561
742	1616	559
743	1618	557
744	1621	554
745	1623	552
746	1625	550
747	1627	548
748	1631	546
749	1634	544
750	1637	542
751	1639	540
752	1641	538
753	1643	536
754	1647	534
755	1650	532
756	1652	530
757	1654	528
758	1656	526
759	1658	523
760	1661	521
761	1663	519
762	1666	517
763	1668	515
764	1670	513
765	1672	511
766	1675	508
767	1677	506
768	1680	504
769	1682	502
770	1684	500
771	1686	498
772	1688	495
773	1690	493
774	1693	491
775	1696	489
776	1698	487
777	1700	485
778	1702	483
779	1705	481
780	1709	479
781	1711	477
782	1714	475
783	1716	472
784	1718	470
785	1722	469
786	1726	467
787	1728	465
788	1731	462
789	1733	460
790	1735	458
791	1738	456
792	1740	454
793	1743	452
794	1744	449
795	1746	447
796	1748	445
797	1750	443
798	1752	440
799	1754	438
800	1756	436
801	1759	434
802	1761	432
803	1763	429
804	1766	428
805	1769	426
806	1772	423
807	1774	421
808	1777	419
809	1780	417
810	1782	415
811	1785	413
812	1787	411
813	1789	408
814	1791	406
815	1793	404
816	1796	402
817	1798	400
818	1801	398
819	1803	395
820	1805	393
821	1807	391
822	1809	389
823	1811	386
824	1813	384
825	1816	382
826	1817	380
827	1819	377
828	1821	375
829	1823	373
830	1825	371
831	1827	369
832	1830	366
833	1832	364
834	1834	362
835	1836	360
836	1838	357
837	1840	355
838	1842	353
839	1845	351
840	1847	349
841	1849	347
842	1851	344
843	1853	342
844	1855	340
845	1857	338
846	1859	335
847	1862	333
848	1864	331
849	1865	329
850	1867	326
851	1869	324
852	1871	322
853	1873	320
854	1875	318
855	1877	315
856	1879	313
857	1881	311
858	1884	309
859	1886	307
860	1888	304
861	1890	302
862	1892	300
863	1894	298
864	1897	296
865	1899	293
866	1901	291
867	1904	289
868	1906	287
869	1908	285
870	1909	282
871	1911	280
872	1913	278
873	1916	276
874	1918	274
875	1921	271
876	1923	269
877	1925	267
878	1927	265
879	1929	263
880	1931	260
881	1933	258
882	1935	256
883	1937	254
884	1939	252
885	1941	249
886	1943	247
887	1946	245
888	1948	243
889	1951	241
890	1952	238
891	1954	236
892	1956	234
893	1958	232
894	1960	229
895	1962	227
896	1964	225
897	1966	223
898	1967	221
899	1969	218
900	1971	216
901	1973	214
902	1975	212
903	1977	210
904	1979	207
905	1982	205
906	1983	203
907	1985	201
908	1987	198
909	1989	196
910	1991	194
911	1993	192
912	1995	190
913	1997	187
914	1999	185
915	2001	183
916	2003	181
917	2005	179
918	2007	176
919	2009	174
920	2010	172
921	2012	170
922	2014	168
923	2015	165
924	2017	163
925	2019	161
926	2021	159
927	2023	156
928	2024	154
929	2026	152
930	2028	150
931	2030	148
932	2032	145
933	2034	143
934	2035	141
935	2037	139
936	2039	137
937	2040	134
938	2042	132
939	2044	130
940	2046	128
941	2048	126
942	2050	123
943	2052	121
944	2053	119
945	2055	117
946	2057	115
947	2059	112
948	2061	110
949	2063	108
950	2065	106
951	2066	104
952	2068	102
953	2070	99
954	2072	97
955	2073	95
956	2075	93
957	2077	91
958	2079	88
959	2081	86
960	2083	84
961	2085	82
962	2086	80
963	2088	77
964	2090	75
965	2092	73
966	2094	71
967	2096	69
968	2098	67
969	2099	64
970	2101	62
971	2103	60
972	2105	58
973	2107	56
974	2109	54
975	2110	51
976	2112	49
977	2114	47
978	2116	45
979	2118	43
980	2119	41
981	2122	38
982	2124	36
983	2125	34
984	2127	32
985	2129	30
986	2131	28
987	2132	25
988	2134	23
989	2137	21
990	2138	19
991	2140	17
992	2142	15
993	2143	12
994	2145	10
995	2147	8
996	2149	6
997	2151	4
998	2153	2
999	2154	0
